customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,product_interest,promotion_frequency,update_frequency
Shahid Hopkins,10,23,2181,1,1,3,113,shoes,Every 2 days,Every update
Shahid Shariari,6,110,3057,3,3,2,332,trendy sections,Every 2 weeks,Updates on interest
Sharelle Roach,5,8,3233,1,4,2,142,polo,Every 2 days,Every update
Shaun Chance,7,36,1875,2,2,3,223,formals,Every 2 weeks,Updates on interest
Shaun Weien,7,162,2923,3,2,2,322,formals,Every 2 weeks,Updates on interest
Sheri Gordon,8,183,1885,3,2,3,323,hoodies,Every 2 weeks,Updates on interest
Shirley Daniels,9,200,6122,4,1,1,411,hoodies,Every 2 days,Every update
Shirley Jackson,5,253,1319,4,4,3,443,shirt,Every 2 weeks,Updates on interest
Shirley Schmidt,3,491,613,4,4,4,444,trendy sections,Once a month,No updates
Shui Tom,7,125,432,3,2,4,324,tracksuits,Every 2 weeks,Updates on interest
Sibella Parks,6,327,1307,4,3,3,433,hoodies,Every 2 weeks,Updates on interest
Skye Norling,6,111,1860,3,3,3,333,oversize,Every 2 weeks,Updates on interest
Sonia Cooley,5,92,902,3,4,4,344,joggers,Every 2 weeks,Updates on interest
Sonia Sunley,6,432,418,4,3,4,434,polo,Every 2 weeks,Updates on interest
Speros Goranitis,6,108,3125,3,3,2,332,hoodies,Every 2 weeks,Updates on interest
Stefania Perrino,9,47,5442,2,1,1,211,oversize,Every 2 days,Every update
Stefanie Holloman,2,765,2096,4,4,3,443,oversize,Every 2 weeks,Updates on interest
Stephanie Phelps,9,386,1873,4,1,3,413,polo,Every week,Every update
Stephanie Ulpright,7,20,2595,1,2,2,122,tracksuits,Every 2 days,Every update
Steve Carroll,6,126,1255,3,3,3,333,oversize,Every 2 weeks,Updates on interest
Steve Chapman,10,89,2578,3,1,2,312,joggers,Every week,Every update
Steve Nguyen,7,79,3129,3,2,2,322,oversize,Every 2 weeks,Updates on interest
Steven Cartwright,11,187,5225,4,1,1,411,oversize,Every 2 days,Every update
Steven Roelle,8,196,4346,4,2,1,421,oversize,Every 2 days,Every update
Steven Ward,2,534,759,4,4,4,444,shoes,Once a month,No updates
Stewart Carmichael,7,41,4493,2,2,1,221,shoes,Every 2 days,Every update
Stewart Visinsky,9,320,4104,4,1,1,411,tracksuits,Every 2 days,Every update
Stuart Calhoun,4,30,278,1,4,4,144,hoodies,Every 2 days,Every update
Stuart Van,4,76,1271,3,4,3,343,oversize,Every 2 weeks,Updates on interest
Sue Ann Reed,10,63,4766,2,1,1,211,trendy sections,Every 2 days,Every update
Sung Chung,2,131,281,3,4,4,344,hoodies,Every 2 weeks,Updates on interest
Sung Pak,10,79,4283,3,1,1,311,tracksuits,Every 2 days,Every update
Sung Shariari,5,120,965,3,4,4,344,jeans,Every 2 weeks,Updates on interest
Susan Gilcrest,3,226,49,4,4,4,444,hoodies,Once a month,No updates
Susan MacKendrick,1,606,1043,4,4,4,444,hoodies,Once a month,No updates
Susan Pistek,6,70,3991,2,3,1,231,hats,Every 2 days,Every update
Susan Vittorini,8,2,1904,1,2,3,123,shirt,Every 2 days,Every update
Suzanne McNair,12,25,5565,1,1,1,111,hats,Every 2 days,Every update
Sylvia Foulston,9,48,3336,2,1,2,212,joggers,Every week,Every update
Tamara Chand,5,399,19052,4,4,1,441,shoes,Every 2 days,Every update
Tamara Dahlen,9,37,1435,2,1,3,213,shoes,Every week,Every update
Tamara Manning,8,103,2955,3,2,2,322,shirt,Every 2 weeks,Updates on interest
Tamara Willingham,7,64,5279,2,2,1,221,polo,Every 2 days,Every update
Tanja Norvell,7,90,3130,3,2,2,322,polo,Every 2 weeks,Updates on interest
Ted Butterfield,5,119,1469,3,4,3,343,tracksuits,Every 2 weeks,Updates on interest
Ted Trevino,7,31,4915,2,2,1,221,formals,Every 2 days,Every update
Thais Sissman,2,357,5,4,4,4,444,shirt,Once a month,No updates
Thea Hendricks,5,344,2424,4,4,2,442,hoodies,Every 2 weeks,Updates on interest
Thea Hudgings,4,58,2943,2,4,2,242,polo,Every 2 weeks,Updates on interest
Theone Pippenger,9,8,4455,1,1,1,111,oversize,Every 2 days,Every update
Theresa Coyne,1,106,1038,3,4,4,344,formals,Every 2 weeks,Updates on interest
Theresa Swint,6,504,2163,4,3,3,433,trendy sections,Every 2 weeks,Updates on interest
Thomas Boland,4,58,3589,2,4,2,242,hoodies,Every 2 weeks,Updates on interest
Thomas Brumley,4,49,816,2,4,4,244,joggers,Every 2 weeks,Updates on interest
Thomas Seio,7,198,5372,4,2,1,421,oversize,Every 2 days,Every update
Thomas Thornton,8,183,1428,3,2,3,323,oversize,Every 2 weeks,Updates on interest
Tiffany House,8,117,1021,3,2,4,324,shirt,Every 2 weeks,Updates on interest
Tim Brockman,7,349,1603,4,2,3,423,formals,Every 2 weeks,Updates on interest
Tim Taslimi,3,406,439,4,4,4,444,tracksuits,Once a month,No updates
Toby Braunhardt,6,583,2197,4,3,3,433,joggers,Every 2 weeks,Updates on interest
Toby Carlisle,8,27,4266,1,2,1,121,polo,Every 2 days,Every update
Toby Gnade,5,337,3059,4,4,2,442,shirt,Every 2 weeks,Updates on interest
Toby Ritter,5,193,676,4,4,4,444,polo,Once a month,No updates
Toby Swindell,5,226,976,4,4,4,444,shirt,Once a month,No updates
Todd Boyes,5,146,834,3,4,4,344,shirt,Every 2 weeks,Updates on interest
Todd Sumrall,6,36,11892,2,3,1,231,shirt,Every 2 days,Every update
Tom Ashbrook,4,69,14595,2,4,1,241,formals,Every 2 days,Every update
Tom Boeckenhauer,7,202,9133,4,2,1,421,tracksuits,Every 2 days,Every update
Tom Prescott,5,104,5330,3,4,1,341,shirt,Every 2 days,Every update
Tom Stivers,5,172,2054,3,4,3,343,jeans,Every 2 weeks,Updates on interest
Tonja Turnell,7,12,5365,1,2,1,121,trendy sections,Every 2 days,Every update
Tony Chapman,9,153,1244,3,1,3,313,polo,Every week,Every update
Tony Molinari,3,130,1095,3,4,4,344,hoodies,Every 2 weeks,Updates on interest
Tony Sayre,6,11,2243,1,3,3,133,hats,Every 2 days,Every update
Tracy Blumstein,9,107,4737,3,1,1,311,joggers,Every 2 days,Every update
Tracy Collins,7,4,743,1,2,4,124,shoes,Every 2 days,Every update
Tracy Hopkins,7,72,4233,2,2,1,221,tracksuits,Every 2 days,Every update
Tracy Poddar,4,350,1937,4,4,3,443,hoodies,Every 2 weeks,Updates on interest
Tracy Zic,4,35,1707,2,4,3,243,oversize,Every 2 weeks,Updates on interest
Troy Blackwell,5,285,1387,4,4,3,443,jeans,Every 2 weeks,Updates on interest
Troy Staebel,7,55,2821,2,2,2,222,shoes,Every 2 weeks,Updates on interest
Trudy Brown,9,30,2798,1,1,2,112,hats,Every 2 days,Every update
Trudy Glocke,4,114,2075,3,4,3,343,hoodies,Every 2 weeks,Updates on interest
Trudy Schmidt,5,238,3368,4,4,2,442,shoes,Every 2 weeks,Updates on interest
Valerie Dominguez,6,581,6442,4,3,1,431,hoodies,Every 2 days,Every update
Valerie Mitchum,7,54,2455,2,2,2,222,jeans,Every 2 weeks,Updates on interest
Valerie Takahito,2,1000,1736,4,4,3,443,hats,Every 2 weeks,Updates on interest
Vicky Freymann,5,13,849,1,4,4,144,oversize,Every 2 days,Every update
Victor Preis,3,30,994,1,4,4,144,shirt,Every 2 days,Every update
Victoria Brennan,6,54,2006,2,3,3,233,polo,Every 2 weeks,Updates on interest
Victoria Pisteka,7,75,3361,2,2,2,222,oversize,Every 2 weeks,Updates on interest
Victoria Wilson,10,28,6134,1,1,1,111,shirt,Every 2 days,Every update
Vivek Gonzalez,6,154,846,3,3,4,334,formals,Every 2 weeks,Updates on interest
Vivek Grady,5,286,427,4,4,4,444,formals,Once a month,No updates
Vivek Sundaresam,4,221,1055,4,4,4,444,formals,Once a month,No updates
Vivian Mathis,5,117,381,3,4,4,344,tracksuits,Every 2 weeks,Updates on interest
William Brown,11,20,6159,1,1,1,111,trendy sections,Every 2 days,Every update
Xylona Preis,11,43,2375,2,1,2,212,joggers,Every week,Every update
Yana Sorensen,8,9,6721,1,2,1,121,joggers,Every 2 days,Every update
Yoseph Carroll,5,4,5455,1,4,1,141,formals,Every 2 days,Every update
Zuschuss Carroll,13,54,8027,2,1,1,211,polo,Every 2 days,Every update
Zuschuss Donatelli,5,202,1494,4,4,3,443,hats,Every 2 weeks,Updates on interest
