customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,Customer_Segment,Email_Frequency,Email_Type
Patrick Jones,8,39,1219,2,2,3,223,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Patrick O'Brill,11,4,7474,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Patrick O'Donnell,7,0,2494,1,2,2,122,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Patrick Ryan,5,36,1840,2,4,3,243,Discount Seekers,Weekly,Discount offers
Paul Gonzalez,9,57,1988,2,1,3,213,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Paul Knutson,2,483,1441,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Paul Lucas,5,15,240,1,4,4,144,Discount Seekers,Weekly,Discount offers
Paul MacIntyre,3,386,1406,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Paul Prost,10,97,7254,3,1,1,311,Active Loyals,Weekly,Personalized updates and loyalty rewards
Paul Stevenson,8,69,1278,2,2,3,223,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Paul Van Hugh,5,89,2876,3,4,2,342,Discount Seekers,Weekly,Discount offers
Pauline Chand,2,882,1062,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Pauline Johnson,7,134,1824,3,2,3,323,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Pauline Webber,10,46,3455,2,1,2,212,Active Loyals,Weekly,Personalized updates and loyalty rewards
Penelope Sewall,7,236,6843,4,2,1,421,Big Spenders,Weekly,Premium offers and exclusive deals
Pete Armstrong,6,103,730,3,3,4,334,Churn Candidates,Monthly,High-impact reactivation emails
Pete Kriz,12,9,8647,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Pete Takahito,4,71,160,2,4,4,244,Discount Seekers,Weekly,Discount offers
Peter Bhler,4,57,689,2,4,4,244,Discount Seekers,Weekly,Discount offers
Peter Fuller,4,835,9063,4,4,1,441,Churn Candidates,Monthly,High-impact reactivation emails
Peter McVee,4,51,4115,2,4,1,241,Discount Seekers,Weekly,Discount offers
Philip Brown,8,97,1456,3,2,3,323,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Philip Fox,6,196,2770,4,3,2,432,Churn Candidates,Monthly,High-impact reactivation emails
Philisse Overcash,9,160,4893,3,1,1,311,Big Spenders,Weekly,Premium offers and exclusive deals
Phillina Ober,5,86,1056,3,4,4,344,Discount Seekers,Weekly,Discount offers
Phillip Breyer,2,688,133,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Phillip Flathmann,5,114,2207,3,4,3,343,Churn Candidates,Monthly,High-impact reactivation emails
Pierre Wener,7,464,3922,4,2,1,421,Big Spenders,Weekly,Premium offers and exclusive deals
Quincy Jones,9,25,6109,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Rachel Payne,4,496,954,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Ralph Arnett,9,5,2618,1,1,2,112,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Ralph Kennedy,3,119,1460,3,4,3,343,Churn Candidates,Monthly,High-impact reactivation emails
Ralph Ritter,2,19,616,1,4,4,144,Discount Seekers,Weekly,Discount offers
Randy Bradley,2,68,1008,2,4,4,244,Discount Seekers,Weekly,Discount offers
Randy Ferguson,8,390,3310,4,2,2,422,Big Spenders,Weekly,Premium offers and exclusive deals
Raymond Buch,6,96,15117,3,3,1,331,Richie Riches,Monthly,Exclusive high-end promotions
Raymond Messe,6,345,1453,4,3,3,433,Churn Candidates,Monthly,High-impact reactivation emails
Resi Plking,12,33,5154,2,1,1,211,Active Loyals,Weekly,Personalized updates and loyalty rewards
Ricardo Emerson,1,1098,48,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Ricardo Sperren,5,76,3221,3,4,2,342,Discount Seekers,Weekly,Discount offers
Richard Bierner,8,19,2664,1,2,2,122,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Richard Eichhorn,5,302,877,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Rick Bensley,12,9,4716,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Rick Duston,8,72,4272,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Rick Hansen,5,32,3622,2,4,2,242,Discount Seekers,Weekly,Discount offers
Rick Huthwaite,6,467,6978,4,3,1,431,Churn Candidates,Monthly,High-impact reactivation emails
Rick Reed,6,170,3301,3,3,2,332,Churn Candidates,Monthly,High-impact reactivation emails
Rick Wilson,7,120,7398,3,2,1,321,Big Spenders,Weekly,Premium offers and exclusive deals
Ritsa Hightower,2,519,740,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Rob Beeghly,5,25,529,1,4,4,144,Discount Seekers,Weekly,Discount offers
Rob Dowd,10,180,2914,3,1,2,312,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Rob Haberlin,3,534,2086,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Rob Lucas,8,121,6236,3,2,1,321,Big Spenders,Weekly,Premium offers and exclusive deals
Rob Williams,9,89,3279,3,1,2,312,Active Loyals,Weekly,Personalized updates and loyalty rewards
Robert Barroso,5,648,222,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Robert Dilbeck,5,114,2787,3,4,2,342,Churn Candidates,Monthly,High-impact reactivation emails
Robert Marley,5,6,5979,1,4,1,141,Discount Seekers,Weekly,Discount offers
Robert Waldorf,5,79,3496,3,4,2,342,Discount Seekers,Weekly,Discount offers
Roger Barcio,4,54,2068,2,4,3,243,Discount Seekers,Weekly,Discount offers
Roger Demir,10,21,1420,1,1,3,113,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Roland Fjeld,7,89,2342,3,2,2,322,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Roland Murray,1,299,98,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Roland Schwarz,8,36,4160,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Rose O'Brian,7,35,3816,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Ross Baird,8,32,5633,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Ross DeVincentis,8,14,1136,1,2,4,124,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Roy Collins,6,369,967,4,3,4,434,Churn Candidates,Monthly,High-impact reactivation emails
Roy Franzsisch,8,6,945,1,2,4,124,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Roy Phan,8,28,2170,1,2,3,123,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Roy Skaria,2,19,23,1,4,4,144,Discount Seekers,Weekly,Discount offers
Ruben Ausman,7,43,3833,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Ruben Dartt,9,114,3134,3,1,2,312,Big Spenders,Weekly,Premium offers and exclusive deals
Russell Applegate,9,12,4793,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Russell D'Ascenzo,4,42,971,2,4,4,244,Discount Seekers,Weekly,Discount offers
Ryan Akin,5,61,1686,2,4,3,243,Discount Seekers,Weekly,Discount offers
Ryan Crowe,6,110,887,3,3,4,334,Churn Candidates,Monthly,High-impact reactivation emails
Sally Hughsby,13,29,3408,1,1,2,112,Active Loyals,Weekly,Personalized updates and loyalty rewards
Sally Knutson,3,8,884,1,4,4,144,Discount Seekers,Weekly,Discount offers
Sally Matthias,4,421,244,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Sam Craven,5,781,3364,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
Sam Zeldin,11,35,3627,2,1,2,212,Active Loyals,Weekly,Personalized updates and loyalty rewards
Sample Company A,9,40,4625,2,1,1,211,Active Loyals,Weekly,Personalized updates and loyalty rewards
Sandra Flanagan,7,59,764,2,2,4,224,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Sandra Glassco,3,8,3406,1,4,2,142,Discount Seekers,Weekly,Discount offers
Sanjit Chand,9,349,14143,4,1,1,411,Big Spenders,Weekly,Premium offers and exclusive deals
Sanjit Engle,11,9,12210,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Sanjit Jacobs,12,95,3949,3,1,1,311,Active Loyals,Weekly,Personalized updates and loyalty rewards
Saphhira Shifley,8,15,1324,1,2,3,123,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Sara Luxemburg,7,70,3053,2,2,2,222,Active Loyals,Weekly,Personalized updates and loyalty rewards
Sarah Bern,3,201,1349,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Sarah Brown,6,188,6412,4,3,1,431,Churn Candidates,Monthly,High-impact reactivation emails
Sarah Foster,9,59,3424,2,1,2,212,Active Loyals,Weekly,Personalized updates and loyalty rewards
Sarah Jordon,6,29,1341,1,3,3,133,Discount Seekers,Weekly,Discount offers
Scot Coram,4,149,4372,3,4,1,341,Churn Candidates,Monthly,High-impact reactivation emails
Scot Wooten,7,81,1085,3,2,4,324,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Scott Cohen,8,187,3730,4,2,2,422,Big Spenders,Weekly,Premium offers and exclusive deals
Scott Williamson,6,30,1966,1,3,3,133,Discount Seekers,Weekly,Discount offers
Sean Braxton,7,47,8058,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Sean Christensen,7,29,3980,1,2,1,121,Active Loyals,Weekly,Personalized updates and loyalty rewards
Sean Miller,5,79,25042,3,4,1,341,Richie Riches,Monthly,Exclusive high-end promotions
Sean O'Donnell,6,29,2603,1,3,2,132,Discount Seekers,Weekly,Discount offers
Sean Wendt,3,162,1019,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Seth Vernon,10,101,11471,3,1,1,311,Big Spenders,Weekly,Premium offers and exclusive deals
Shahid Collister,9,30,5993,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Shahid Hopkins,10,23,2181,1,1,3,113,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Shahid Shariari,6,110,3057,3,3,2,332,Churn Candidates,Monthly,High-impact reactivation emails
Sharelle Roach,5,8,3233,1,4,2,142,Discount Seekers,Weekly,Discount offers
Shaun Chance,7,36,1875,2,2,3,223,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Shaun Weien,7,162,2923,3,2,2,322,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Sheri Gordon,8,183,1885,3,2,3,323,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Shirley Daniels,9,200,6122,4,1,1,411,Big Spenders,Weekly,Premium offers and exclusive deals
Shirley Jackson,5,253,1319,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Shirley Schmidt,3,491,613,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Shui Tom,7,125,432,3,2,4,324,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Sibella Parks,6,327,1307,4,3,3,433,Churn Candidates,Monthly,High-impact reactivation emails
Skye Norling,6,111,1860,3,3,3,333,Churn Candidates,Monthly,High-impact reactivation emails
Sonia Cooley,5,92,902,3,4,4,344,Discount Seekers,Weekly,Discount offers
Sonia Sunley,6,432,418,4,3,4,434,Churn Candidates,Monthly,High-impact reactivation emails
Speros Goranitis,6,108,3125,3,3,2,332,Churn Candidates,Monthly,High-impact reactivation emails
Stefania Perrino,9,47,5442,2,1,1,211,Active Loyals,Weekly,Personalized updates and loyalty rewards
Stefanie Holloman,2,765,2096,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Stephanie Phelps,9,386,1873,4,1,3,413,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Stephanie Ulpright,7,20,2595,1,2,2,122,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Steve Carroll,6,126,1255,3,3,3,333,Churn Candidates,Monthly,High-impact reactivation emails
Steve Chapman,10,89,2578,3,1,2,312,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Steve Nguyen,7,79,3129,3,2,2,322,Active Loyals,Weekly,Personalized updates and loyalty rewards
Steven Cartwright,11,187,5225,4,1,1,411,Big Spenders,Weekly,Premium offers and exclusive deals
Steven Roelle,8,196,4346,4,2,1,421,Big Spenders,Weekly,Premium offers and exclusive deals
Steven Ward,2,534,759,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Stewart Carmichael,7,41,4493,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Stewart Visinsky,9,320,4104,4,1,1,411,Big Spenders,Weekly,Premium offers and exclusive deals
Stuart Calhoun,4,30,278,1,4,4,144,Discount Seekers,Weekly,Discount offers
Stuart Van,4,76,1271,3,4,3,343,Discount Seekers,Weekly,Discount offers
Sue Ann Reed,10,63,4766,2,1,1,211,Active Loyals,Weekly,Personalized updates and loyalty rewards
Sung Chung,2,131,281,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Sung Pak,10,79,4283,3,1,1,311,Active Loyals,Weekly,Personalized updates and loyalty rewards
Sung Shariari,5,120,965,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Susan Gilcrest,3,226,49,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Susan MacKendrick,1,606,1043,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Susan Pistek,6,70,3991,2,3,1,231,Discount Seekers,Weekly,Discount offers
Susan Vittorini,8,2,1904,1,2,3,123,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Suzanne McNair,12,25,5565,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Sylvia Foulston,9,48,3336,2,1,2,212,Active Loyals,Weekly,Personalized updates and loyalty rewards
Tamara Chand,5,399,19052,4,4,1,441,Churn Candidates,Monthly,High-impact reactivation emails
Tamara Dahlen,9,37,1435,2,1,3,213,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Tamara Manning,8,103,2955,3,2,2,322,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Tamara Willingham,7,64,5279,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Tanja Norvell,7,90,3130,3,2,2,322,Active Loyals,Weekly,Personalized updates and loyalty rewards
Ted Butterfield,5,119,1469,3,4,3,343,Churn Candidates,Monthly,High-impact reactivation emails
Ted Trevino,7,31,4915,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Thais Sissman,2,357,5,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Thea Hendricks,5,344,2424,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
Thea Hudgings,4,58,2943,2,4,2,242,Discount Seekers,Weekly,Discount offers
Theone Pippenger,9,8,4455,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Theresa Coyne,1,106,1038,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Theresa Swint,6,504,2163,4,3,3,433,Churn Candidates,Monthly,High-impact reactivation emails
Thomas Boland,4,58,3589,2,4,2,242,Discount Seekers,Weekly,Discount offers
Thomas Brumley,4,49,816,2,4,4,244,Discount Seekers,Weekly,Discount offers
Thomas Seio,7,198,5372,4,2,1,421,Big Spenders,Weekly,Premium offers and exclusive deals
Thomas Thornton,8,183,1428,3,2,3,323,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Tiffany House,8,117,1021,3,2,4,324,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Tim Brockman,7,349,1603,4,2,3,423,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Tim Taslimi,3,406,439,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Toby Braunhardt,6,583,2197,4,3,3,433,Churn Candidates,Monthly,High-impact reactivation emails
Toby Carlisle,8,27,4266,1,2,1,121,Active Loyals,Weekly,Personalized updates and loyalty rewards
Toby Gnade,5,337,3059,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
Toby Ritter,5,193,676,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Toby Swindell,5,226,976,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Todd Boyes,5,146,834,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Todd Sumrall,6,36,11892,2,3,1,231,Richie Riches,Monthly,Exclusive high-end promotions
Tom Ashbrook,4,69,14595,2,4,1,241,Richie Riches,Monthly,Exclusive high-end promotions
Tom Boeckenhauer,7,202,9133,4,2,1,421,Big Spenders,Weekly,Premium offers and exclusive deals
Tom Prescott,5,104,5330,3,4,1,341,Churn Candidates,Monthly,High-impact reactivation emails
Tom Stivers,5,172,2054,3,4,3,343,Churn Candidates,Monthly,High-impact reactivation emails
Tonja Turnell,7,12,5365,1,2,1,121,Active Loyals,Weekly,Personalized updates and loyalty rewards
Tony Chapman,9,153,1244,3,1,3,313,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Tony Molinari,3,130,1095,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Tony Sayre,6,11,2243,1,3,3,133,Discount Seekers,Weekly,Discount offers
Tracy Blumstein,9,107,4737,3,1,1,311,Big Spenders,Weekly,Premium offers and exclusive deals
Tracy Collins,7,4,743,1,2,4,124,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Tracy Hopkins,7,72,4233,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Tracy Poddar,4,350,1937,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Tracy Zic,4,35,1707,2,4,3,243,Discount Seekers,Weekly,Discount offers
Troy Blackwell,5,285,1387,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Troy Staebel,7,55,2821,2,2,2,222,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Trudy Brown,9,30,2798,1,1,2,112,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Trudy Glocke,4,114,2075,3,4,3,343,Churn Candidates,Monthly,High-impact reactivation emails
Trudy Schmidt,5,238,3368,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
Valerie Dominguez,6,581,6442,4,3,1,431,Churn Candidates,Monthly,High-impact reactivation emails
Valerie Mitchum,7,54,2455,2,2,2,222,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Valerie Takahito,2,1000,1736,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Vicky Freymann,5,13,849,1,4,4,144,Discount Seekers,Weekly,Discount offers
Victor Preis,3,30,994,1,4,4,144,Discount Seekers,Weekly,Discount offers
Victoria Brennan,6,54,2006,2,3,3,233,Discount Seekers,Weekly,Discount offers
Victoria Pisteka,7,75,3361,2,2,2,222,Active Loyals,Weekly,Personalized updates and loyalty rewards
Victoria Wilson,10,28,6134,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Vivek Gonzalez,6,154,846,3,3,4,334,Churn Candidates,Monthly,High-impact reactivation emails
Vivek Grady,5,286,427,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Vivek Sundaresam,4,221,1055,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Vivian Mathis,5,117,381,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
William Brown,11,20,6159,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Xylona Preis,11,43,2375,2,1,2,212,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Yana Sorensen,8,9,6721,1,2,1,121,Active Loyals,Weekly,Personalized updates and loyalty rewards
Yoseph Carroll,5,4,5455,1,4,1,141,Discount Seekers,Weekly,Discount offers
Zuschuss Carroll,13,54,8027,2,1,1,211,Active Loyals,Weekly,Personalized updates and loyalty rewards
Zuschuss Donatelli,5,202,1494,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
